index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
25,Circle K Svolvær,0,78416201,"Repslagergata 20, 8300 Svolvær","68.23491469460407, 14.564878794604072",,,Lillehammer,Lillehammer,Innlandet,"61.1333408, 10.426585544131413",2022-02-24 01:39:06.921160,00.00
26,Skaidicenteret AS,0,72492596,"Skaidiplassen 15, 9620 Kvalsund","62.34318720027183, 5.587326600271824",,,Mandal,Mandal,Agder,"58.0268181, 7.4534802",2022-02-24 01:39:34.145351,00.00
27,Best Lensvik,0,32834363,"Lensvikveien 249, 7316 Lensvik","63.5104386, 9.8129346",,,Molde,Molde,Møre og Romsdal,"62.7377239, 7.1590265",2022-02-24 01:47:39.523915,00.00
28,Circle K Strømsø,0,57717104,"Grønland 13, 3045 Drammen","59.74410029594241, 10.204800295942404",,,Moss,Moss,Viken,"59.414667449999996, 10.659657776223916",2022-02-24 02:30:47.349365,00.00
29,M M Øvrebø AS,0,74078025,"Laukelandsvegen 90, 6977 Bygstad","61.3783329, 5.6460927",,,Namsos,Namsos,Trøndelag,"64.46663724999999, 11.334504720494646",2022-02-24 01:39:06.921160,00.00
30,Verdal Bilistsenter AS Shell Verdal,0,74143475,"Valborgvegen 3, 7657 Verdal","63.786341973412256, 11.920451325432703",,,Narvik,Narvik,Nordland,"68.28988385, 17.086538711321808",2022-02-24 01:39:34.145351,00.00
31,Sparbu Bilservice AS Shell Sparbu,0,77171750,"Steinkjervegen 1209, 7710 Sparbu","63.91965380175733, 11.43688910175733",,,Notodden,Notodden,Vestfold og Telemark,"59.6871024, 9.150808170862877",2022-02-24 01:47:39.523915,00.00
32,Yx Sjøvegan - Petters Autoshop AS,0,40614700,"Strandveien 9, Strandsenteret, 9350 Sjøvegan","68.873378, 17.8433191",,,Oslo,Oslo,Oslo,"59.9133301, 10.7389701",2022-02-24 02:30:47.349365,00.00
33,Esso Bjerkvik Ingolf Thune AS,0,75018040,"Medbyveien 1, 8530 Bjerkvik","68.55005125954105, 17.558931859541048",,,Porsgrunn,Porsgrunn,Vestfold og Telemark,"59.103735, 9.736353765927529",2022-02-24 01:39:06.921160,00.00
1407,Shell Select Brønnøysund,0,77859950,"Sømnaveien 103, 8900 Brønnøysund","65.476675, 12.217462",,,Risør,Risør,Agder,"58.67683125, 9.310831267755196",2022-02-24 01:39:06.921160,00.00
35,Bensin stasjon Finnsnes AS,0,72894200,"Storgata 38, 9300 Finnsnes","69.23257756768788, 17.980838567687876",,,Sandefjord,Sandefjord,Vestfold og Telemark,"59.1300112, 10.2255602",2022-02-24 01:39:34.145351,00.00
36,City Syd Kjøpesenter,0,0,"Østre Rosten 28/30, 7075 Tiller","63.355957073807716, 10.379373273807714",,,Sandnes,Sandnes,Rogaland,"58.8517825, 5.7369907",2022-02-24 01:47:39.523915,00.00
37,Westbyes bensinstasjon AS,0,0,"Jernbanegata 8, 2004 Lillestrøm","59.95358516235778, 11.045322962357783",,,Sarpsborg,Sarpsborg,Viken,"59.254955, 11.229781140849298",2022-02-24 02:30:47.349365,00.00
38,Magnor bensinstasjon AS,0,0,"Grensevegen 664, 2240 Magnor","59.951403222413404, 12.200213322413408",,,Skien,Skien,Vestfold og Telemark,"59.2662883, 9.531135447537467",2022-02-24 01:39:06.921160,00.00
39,Stake AS avd bensinstasjon,0,0,"Krøderfjordveien 1625, 3536 Noresund","60.18002568632848, 9.624283986328482",,,Stavanger,Stavanger,Rogaland,"59.1020129, 5.712611357275702",2022-02-24 01:39:34.145351,00.00
40,Myrlandsvingen bensinstasjon AS,0,0,"Europaveien 447, 3967 Stathelle","59.04517439332864, 9.697909993328633",,,Steinkjer,Steinkjer,Trøndelag,"64.0151822, 11.4956666",2022-02-24 01:47:39.523915,00.00
41,Hundvåg bensinstasjon AS,0,0,"Restaurationveien 10, 4085 Hundvåg","58.99781975475105, 5.73032919667993",,,Svolvær,Vågan,Nordland,"68.2322107, 14.5646448",2022-02-24 02:30:47.349365,00.00
42,Birkeland bensinstasjon AS,0,0,"Lygnaveien 979, 4595 Tingvatn","58.3974628, 7.2264279",,,Tønsberg,Tønsberg,Vestfold og Telemark,"59.3549795, 10.282049110877239",2022-02-24 01:39:06.921160,00.00
43,Nodeland bensinstasjon AS,0,0,"Songdalsvegen 101, 4645 Nodeland","58.15544145639602, 7.8360993563960175",,,Tromsø,Tromsø,Troms og Finnmark,"69.649208, 18.9543434",2022-02-24 01:39:34.145351,00.00
44,Amtmannsvingen bensinstasjon AS,0,0,"Bergsmyrveien 41, 4900 Tvedestrand","58.56642860779929, 9.212497172736425",,,Trondheim,Trondheim,Trøndelag,"63.4305658, 10.3951929",2022-02-24 01:47:39.523915,00.00
