index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
309,Best Blaker,0,32759080,"Fossmoveien 2, 1925 Blaker","60.0048346, 11.3012644",,,,,,,2022-02-24 02:30:47.349365,00.00
310,DRIV Aurskog,0,32759080,"Aurveien 104, 1930 Aurskog","59.9271008, 11.4679246",,,,,,,2022-02-24 01:39:06.921160,00.00
311,DRIV Rømskog,0,63851105,"Jerpedalsveien 8, ved Bergquist maskin og transport, 1950 Rømskog","11.5835, 17.427",,,,,,,2022-02-24 01:39:34.145351,00.00
312,Esso Løken,0,63812115,"Hølandsveien 1986, 1960 Løken","59.7969103, 11.468233494496271",,,,,,,2022-02-24 01:47:39.523915,00.00
313,Shell Lillestrøm d,0,63841393,"Stillverksveien 2, 2004 Lillestrøm","59.95363988319627, 11.045377683196268",,,,,,,2022-02-24 02:30:47.349365,00.00
314,Esso Skjetten,0,63990402,"Nordens vei 15, 2013 Skjetten","59.9675694, 11.0013047",,,,,,,2022-02-24 01:39:06.921160,00.00
315,Shell Gjerdrum,0,63993017,"Ask 76, 2022 Gjerdrum","60.0787767, 11.020612257865926",,,,,,,2022-02-24 01:39:06.921160,00.00
316,Esso Maura,0,45444288,"Stensetgutua 5, 2032 Maura","43.382877, -0.072515",,,,,,,2022-02-24 01:39:34.145351,00.00
317,Tryggestad Stasjonsdrift AS,0,32759080,"Kongsvingervegen 27, 2040 Kløfta","60.07554559773771, 11.139352297737707",,,,,,,2022-02-24 01:47:39.523915,00.00
318,DRIV Dal,0,32759080,"Vognvegen 19, 2072 Dal","45.87179391422732, 13.355458372630235",,,,,,,2022-02-24 02:30:47.349365,00.00
319,DRIV Hurdal,0,32759080,"Strandvegen 5, 2090 Hurdal","60.4270172, 10.975961488579873",,,,,,,2022-02-24 01:39:06.921160,00.00
320,DRIV Skarnes,0,63904353,"Disenåvegen 11, 2100 Skarnes","60.25421606642861, 11.68075916642861",,,,,,,2022-02-24 01:39:34.145351,00.00
321,Yx Kampå,0,63904353,"Bjørkelunden, 2170 Fenstad","60.22025948564027, 11.393586285640268",,,,,,,2022-02-24 01:47:39.523915,00.00
322,Yama invest AS,0,62812281,"Bjørkelunden 2, 2170 Fenstad","60.2200323, 11.3933591",,,,,,,2022-02-24 02:30:47.349365,00.00
323,Shell Vinger,0,62835207,"Lensmann Jahnsens veg 1, 2211 Kongsvinger","34.6930838, -0.2009292",,,,,,,2022-02-24 01:39:06.921160,00.00
324,Esso Skotterud,0,32759080,"Matrandvegen 31, 2230 Skotterud","59.9845878, 12.123833",,,,,,,2022-02-24 01:39:34.145351,00.00
325,DRIV Magnormoen,0,62944877,"Furumoen 29, 2240 Magnor","59.9511251, 12.1999352",,,,,,,2022-02-24 01:47:39.523915,00.00
326,Shell Namnå,0,90641009,"Solørvegen 1445, 2265 Namnå","60.4996136, 12.077401",,,,,,,2022-02-24 02:30:47.349365,00.00
327,Mjøs retail AS,0,62350605,"Fjordvegen 54 A, 2312 Ottestad","60.7464602, 11.136809",,,,,,,2022-02-24 01:39:06.921160,00.00
328,Yx Olrud,0,62521478,"Kårtorpvegen 1, 2320 Furnes","51.07254298049402, 2.6622479804940196",,,,,,,2022-02-24 01:39:34.145351,00.00
329,Bensin øst AS,0,62552611,"Stangevegen 113, 2321 Hamar","60.79494869718273, 11.068265597182734",,,,,,,2022-02-24 01:47:39.523915,00.00
330,Shell Torshov,0,62585870,"Kappvegen 1, 2322 Ridabu","60.8016786, 11.1294404",,,,,,,2022-02-24 02:30:47.349365,00.00
331,Best Romedal,0,62353200,"Mågårdvegen 74, 2334 Romedal","60.737310261690986, 11.293340761690986",,,,,,,2022-02-24 01:39:06.921160,00.00
332,Nes servicecenter AS,0,62352326,"Bryggevegen 21, 2350 Nes på Hedmarken","40.9699889, -77.7278831",,,,,,,2022-02-24 01:39:06.921160,00.00
333,Shell Stavsjø,0,62367401,"Nesvegen 1265, 2353 Stavsjø","60.8058044, 10.8387192",,,,,,,2022-02-24 01:39:34.145351,00.00
334,Best Moelv,0,62400540,"Storgata 15, 2390 Moelv","60.93084257910075, 10.699959979100745",,,,,,,2022-02-24 01:47:39.523915,00.00
335,Shell Elverum,0,62411246,"Sven Morens veg 4, 2408 Elverum","36.3737207, 7.2234313",,,,,,,2022-02-24 02:30:47.349365,00.00
336,Esoo Bankhjørnet,0,62450670,"Storgata 27, 2414 Elverum","60.883368739155955, 11.560643839155954",,,,,,,2022-02-24 01:39:06.921160,00.00
337,Shell Trysil,0,62460054,"Vestmovegen 24, 2420 Trysil","61.35652184406058, 12.367400604436439",,,,,,,2022-02-24 01:39:34.145351,00.00
338,Yx Koppang,0,62460560,"Storgata 85, 2480 Koppang","61.572524244134264, 11.046304844134264",,,,,,,2022-02-24 01:47:39.523915,00.00
339,Shell Koppang,0,32759080,"Øverengsmoen 195, 2480 Koppang","61.57258326672333, 11.046363866723333",,,,,,,2022-02-24 02:30:47.349365,00.00
340,DRIV Tylldal,0,62484214,"Tylldalsveien 1975, 2510 Tylldalen","62.1376694, 10.7937845",,,,,,,2022-02-24 01:39:06.921160,00.00
341,Kvikne Autosenter AS,0,62487066,"Haugan 4, 2512 Kvikne","61.57589, 9.5886086",,,,,,,2022-02-24 01:39:34.145351,00.00
342,Yx Alvdal,0,62487203,"Nord-Østerdalsveien 5140, 2560 Alvdal","62.09673944207832, 10.502719676631395",,,,,,,2022-02-24 01:47:39.523915,00.00
343,Shell Alvdal,0,32759080,"Nord-Østerdalsveien 5089, 2560 Alvdal","62.09679179189748, 10.502772026450558",,,,,,,2022-02-24 02:30:47.349365,00.00
344,DRIV Folldal,0,61282508,"Folldalsvegen 2876, 2580 Folldal","62.156249700000004, 9.973714257718742",,,,,,,2022-02-24 01:39:06.921160,00.00
345,Yx Kvitfjelltunet,0,61290436,"Stasjonsvegen 13, 2634 Fåvang","61.455787155614644, 10.195122755614639",,,,,,,2022-02-24 01:39:34.145351,00.00
346,Kolås Automatdrift,0,61242300,"Øvregata 23, 2640 Vinstra","61.59413693332472, 9.752971158223703",,,,,,,2022-02-24 01:47:39.523915,00.00
347,Yx Dovre,0,61245590,"Gudbrandsdalsvegen 1720, 2662 Dovre","62.11462645, 9.440367091535318",,,,,,,2022-02-24 02:30:47.349365,00.00
348,Yx Bjorli,0,61233035,"Bøvervegen, 2669 Bjorli","62.2587368, 8.217773",,,,,,,2022-02-24 01:39:06.921160,00.00
349,Yx Sel,0,61238528,"Strand 4, 2672 Sel","52.20152695, 0.10683688185703191",,,,,,,2022-02-24 01:39:06.921160,00.00
350,Yx Vågå,0,61322900,"Vågåvegen 80, 2680 Vågå","61.70233616988889, 8.994907296056248",,,,,,,2022-02-24 01:39:34.145351,00.00
351,Shell Roa,0,61323047,"Hadelandsvegen 2107, 2740 Roa","41.6966212, -3.9284274",,,,,,,2022-02-24 01:47:39.523915,00.00
352,Shell Harestua,0,61330835,"Hadelandsvegen 848, 2743 Harestua","60.1983569, 10.7201824",,,,,,,2022-02-24 02:30:47.349365,00.00
353,Shell Gran,0,61178200,"Hovsgutua 2, 2750 Gran","47.75832270976462, 18.73580336263722",,,,,,,2022-02-24 01:39:06.921160,00.00
354,Kallerud Autosender AS,0,99000502,"Kallerudlia 1, 2816 Gjøvik","60.796755311572916, 10.693612711572914",,,,,,,2022-02-24 01:39:34.145351,00.00
355,Snertingdal bilistsenter AS,0,32759080,"Snertingdalsvegen 1748, 2838 Snertingdal","60.8808684, 10.3887399",,,,,,,2022-02-24 01:47:39.523915,00.00
356,DRIV Kolbu,0,61163226,"Kolbulinna, 2847 Kolbu","60.6490248, 10.7432042",,,,,,,2022-02-24 02:30:47.349365,00.00
357,Skreia Servicenter AS,0,96000755,"Totenvegen 815, 2848 Skreia","60.652964868434736, 10.932223968434739",,,,,,,2022-02-24 01:39:06.921160,00.00
358,Yx Skreia,0,61110375,"Totenvegen 804, 2848 Skreia","60.6527554, 10.9320145",,,,,,,2022-02-24 01:39:34.145351,00.00
359,Shell Dokka,0,61360098,"Storgata 54, 2870 Dokka","61.37250884734715, 5.151322347347152",,,,,,,2022-02-24 01:47:39.523915,00.00
360,Shell Fagernes,0,61362240,"Jernbanevegen 40, 2900 Fagernes","60.98639734650907, 9.236479846509068",,,,,,,2022-02-24 02:30:47.349365,00.00
361,Yx Leira,0,32837060,"Kongsvegen 50, 2920 Leira i Valdres","60.972154825244345, 9.289956084685993",,,,,,,2022-02-24 01:39:06.921160,00.00
362,Yx Brakerøya,0,32832361,"Engene 100, 3012 Drammen","59.74382071492489, 10.204520714924884",,,,,,,2022-02-24 01:39:34.145351,00.00
363,Shell Brakerøya,0,32759080,"Tomtegata 22, 3012 Drammen","59.74392839316983, 10.204628393169829",,,,,,,2022-02-24 01:47:39.523915,00.00
364,DRIV Holmen,0,32821939,"Svend Haugs gate 4, 3013 Drammen","33.1098968, 6.066102",,,,,,,2022-02-24 02:30:47.349365,00.00
365,Shell Svingen,0,92292284,"Rosenkrantzgata 153, 3023 Drammen","59.74397086893841, 10.204670868938408",,,,,,,2022-02-24 01:39:06.921160,00.00
366,Shell Mjøndalen,0,90799663,"Strandveien 43, 3050 Mjøndalen","59.7508637, 10.0108436",,,,,,,2022-02-24 01:39:34.145351,00.00
367,Shell Svelvik,0,33785060,"Åsgaten 2, 3060 Svelvik","59.59000155, 10.375691563665043",,,,,,,2022-02-24 01:47:39.523915,00.00
368,Shell Sande,0,32759080,"Gallebergveien 2, 3070 Sande i Vestfold","59.59588398716111, 10.20832774115141",,,,,,,2022-02-24 02:30:47.349365,00.00
369,DRIV Sande,0,33053141,"Lersbrygga 3, 3077 Sande i Vestfold","59.57103444821341, 10.256108016944685",,,,,,,2022-02-24 01:39:06.921160,00.00
370,Shell Grelland,0,33058084,"Grelland 3, 3089 Holmestrand","59.559522696705834, 10.153567695821978",,,,,,,2022-02-24 01:39:06.921160,00.00
371,Best Hof,0,92634866,"Haslestadlinna 2, 3090 Hof","50.3219015, 11.9178807",,,,,,,2022-02-24 01:39:34.145351,00.00
372,Shell Teiehøyden,0,92614317,"Kirkeveien 14 C, 3120 Nøtterøy","59.2152536, 10.4145043906461",,,,,,,2022-02-24 01:47:39.523915,00.00
373,Shell Kjelleveien,0,92620481,"Kjelleveien 26, 3125 Tønsberg","59.26798738367824, 10.408322583678236",,,,,,,2022-02-24 02:30:47.349365,00.00
374,Shell Nøtterøy,0,33325445,"Smidsrødveien 200, 3133 Duken","71.070072, 25.830631",,,,,,,2022-02-24 01:39:06.921160,00.00
375,Best Tolvsrød,0,92295665,"Valløveien 56, 3152 Tolvsrød","59.2724442, 10.471709",,,,,,,2022-02-24 01:39:34.145351,00.00
376,Shell Våle,0,92632465,"Bispeveien 1530, 3178 Våle","13.2904027, 108.4265113",,,,,,,2022-02-24 01:47:39.523915,00.00
377,Shell Tveiten,0,92295665,"Storgata 149, 3186 Horten","59.40467183450416, 10.47044777511023",,,,,,,2022-02-24 02:30:47.349365,00.00
378,Team retail AS,0,92602436,"Salmakerløkka 18, 3212 Sandefjord","59.13027446321406, 10.225823463214056",,,,,,,2022-02-24 01:39:06.921160,00.00
379,Shell Kamfjord,0,92499351,"Vesterøyveien 1, 3235 Sandefjord","59.13037862698103, 10.22592762698103",,,,,,,2022-02-24 01:39:34.145351,00.00
380,Shell Fokserød,0,33441300,"Fokserødveien 19, 3241 Sandefjord","59.13013444656262, 10.22568344656262",,,,,,,2022-02-24 01:47:39.523915,00.00
381,Shell Kodal,0,45235754,"Sagmyra 4 A, 3243 Kodal","59.2143828, 10.1384331",,,,,,,2022-02-24 02:30:47.349365,00.00
382,Shell Storgata,0,32759080,"Storgata 61, 3256 Larvik","59.053282418665134, 10.027291418665133",,,,,,,2022-02-24 01:39:06.921160,00.00
383,DRIV Steinsholt,0,33193810,"Skiensveien 99, 3277 Steinsholt","59.3121786, 9.8827056",,,,,,,2022-02-24 01:39:34.145351,00.00
384,Best Tjølling,0,32759080,"Tjøllingveien 991, 3280 Tjodalyng","59.05647095496872, 10.125257054968717",,,,,,,2022-02-24 01:47:39.523915,00.00
385,DRIV Hokksund,0,47613228,"Loe Bruk 1, 3300 Hokksund","59.76852031352976, 9.916564127999855",,,,,,,2022-02-24 02:30:47.349365,00.00
386,Yx Vestfossen,0,32759080,"Møllergata 2, 3320 Vestfossen","59.7343521, 9.8673454",,,,,,,2022-02-24 01:39:06.921160,00.00
387,DRIV Skotselv,0,32715706,"Verksveien 70, 3330 Skotselv","59.8456238, 9.8842652",,,,,,,2022-02-24 01:39:06.921160,00.00
388,Shell Solumsmoen,0,32783827,"Sigdalsveien 914, Fv287, 3355 Solumsmoen","59.963536, 9.770925",,,,,,,2022-02-24 01:39:34.145351,00.00
389,Autosenteret Sysle,0,32785000,"Krøderveien 490, 3370 Vikersund","59.96933759086593, 9.998458190865929",,,,,,,2022-02-24 01:47:39.523915,00.00
390,Yx Vikersund,0,32847511,"Krøderveien 14, 3370 Vikersund","59.96945537997843, 9.998575979978424",,,,,,,2022-02-24 02:30:47.349365,00.00
391,Shell Kjellstad,0,32792160,"Vestre Linnesvei 4, 3414 Lierstranda","59.7565855, 10.2583213",,,,,,,2022-02-24 01:39:06.921160,00.00
392,Yx Sætre,0,32759080,"Nordre Sætrevei 10, 3475 Sætre","59.6818075, 10.5267424",,,,,,,2022-02-24 01:39:34.145351,00.00
393,DRIV Holmsbu,0,32126177,"Skaholtveien 2, 3484 Holmsbu","59.5602005, 10.4276523",,,,,,,2022-02-24 01:47:39.523915,00.00
394,Shell Sletta,0,32759080,"Hønengata 75, 3515 Hønefoss","60.16961248266404, 10.249423482664042",,,,,,,2022-02-24 02:30:47.349365,00.00
395,DRIV Kilemoen,0,61312600,"Follummoveien 8, 3516 Hønefoss","60.1694732335361, 10.249284233536104",,,,,,,2022-02-24 01:39:06.921160,00.00
396,Esso Jevnaker,0,32759080,"Glassverkvegen 25, 3520 Jevnaker","60.240494180490565, 10.410007960354504",,,,,,,2022-02-24 01:39:34.145351,00.00
397,DRIV Randsfjorden,0,32130543,"Musmyrvegen 13, 3520 Jevnaker","60.22757452276355, 10.34984414899748",,,,,,,2022-02-24 01:47:39.523915,00.00
398,Yx Hallingby,0,32759080,"Moseveien 5, 3525 Hallingby","60.2714569, 10.184951",,,,,,,2022-02-24 02:30:47.349365,00.00
399,DRIV Hallingby,0,32160805,"Ådalsveien 155, Ved E16, 3525 Hallingby","36.7935601, 3.9500124",,,,,,,2022-02-24 01:39:06.921160,00.00
400,Shell Vik,0,32142620,"Røyseveien 1, 3530 Røyse","60.07859970145223, 10.197072601452225",,,,,,,2022-02-24 01:39:34.145351,00.00
401,Yx Tyristrand,0,32759080,"Kindsveien 1, 3533 Tyristrand","60.0836855, 10.0966234",,,,,,,2022-02-24 01:47:39.523915,00.00
402,DRIV Sokna,0,32149105,"Nordmoveien 48, Ved Moelven Soknabruket AS, 3534 Sokna","60.24250245, 9.94985792701652",,,,,,,2022-02-24 02:30:47.349365,00.00
403,Shell Noresund,0,90279289,"Krøderfjordveien 1625, 3536 Noresund","60.180168359332825, 9.624426659332828",,,,,,,2022-02-24 01:39:06.921160,00.00
404,Shell Flå,0,90279289,"Svingelie 6-8 Bjørneparken Kjøpesenter, 3539 Flå","60.431474410210775, 9.458707559523912",,,,,,,2022-02-24 01:39:06.921160,00.00
405,Circle K Gulsvik,0,48406283,"Bjørkvikmoen 10, 3539 Flå","60.38130907712709, 9.610868312435057",,,,,,,2022-02-24 01:39:34.145351,00.00
406,Yx Bromma,0,32071700,"Hallingdalsvegen 4224, 3540 Nesbyen","60.54695811912042, 9.02847549874346",,,,,,,2022-02-24 01:47:39.523915,00.00
407,Shell Nesbyen,0,32074240,"Rukkedalsvegen 1, 3540 Nesbyen","60.5468243, 9.02834167962304",,,,,,,2022-02-24 02:30:47.349365,00.00
408,Shell Gol d,0,32759080,"Heradvegen 3, 3550 Gol","60.75175701188336, 9.012719684575046",,,,,,,2022-02-24 01:39:06.921160,00.00
409,DRIV Gol,0,32074181,"Husøynvegen 9, 3550 Gol","60.751632475520225, 9.012595148211906",,,,,,,2022-02-24 01:39:34.145351,00.00
410,Yx Gol,0,32759080,"Sentrumsvegen 56, 3550 Gol","60.75169255368373, 9.012655226375413",,,,,,,2022-02-24 01:47:39.523915,00.00
411,DRIV Hemsedal,0,32059855,"Hemsedalsvegen 2877, 3560 Hemsedal","60.92860276650167, 8.383845996454209",,,,,,,2022-02-24 02:30:47.349365,00.00
412,Shell Hemsedal,0,32759080,"Hemsedalsvegen 2977, 3560 Hemsedal","60.928243699999996, 8.383486929952534",,,,,,,2022-02-24 01:39:06.921160,00.00
413,DRIV Kleivi,0,32759080,"Kleivi Næringspark 32, ved Hallingplast, 3570 Ål","60.57760491363475, 8.421844014712182",,,,,,,2022-02-24 01:39:34.145351,00.00
414,DRIV Kongsberg,0,32733270,"Bergmannsveien 240, 3615 Kongsberg","59.627415853668545, 9.633553172070208",,,,,,,2022-02-24 01:47:39.523915,00.00
415,Shell Friedland,0,32769190,"Numedalsveien 6, Fv40, 3617 Kongsberg","59.66954661882123, 9.641080027227341",,,,,,,2022-02-24 02:30:47.349365,00.00
416,Shell Hostvedt,0,32769190,"Hostvetveien 534, 3618 Skollenborg","59.592578081155516, 9.763886080334556",,,,,,,2022-02-24 01:39:06.921160,00.00
417,Shell Hostvedt du,0,40862306,"Hostvetveien 538, 3618 Skollenborg","49.62231277193251, 9.695712771932515",,,,,,,2022-02-24 01:39:34.145351,00.00
418,Shell Hostvedt d,0,92290672,"Hostvetveien 536, 3618 Skollenborg","49.622128, 9.695528",,,,,,,2022-02-24 01:47:39.523915,00.00
419,Shell Skollenborg,0,32741196,"Vårveien 2, 3619 Skollenborg","59.622170359595536, 9.683554801312006",,,,,,,2022-02-24 02:30:47.349365,00.00
420,Shell Rødberg,0,32768263,"Sentrum 46, 3630 Rødberg","69.58165, 20.0342639",,,,,,,2022-02-24 01:39:06.921160,00.00
421,Best Hvittingfoss,0,32759080,"Gravdalsveien 1, 3647 Hvittingfoss","59.4857217, 10.0117366",,,,,,,2022-02-24 01:39:06.921160,00.00
422,DRIV Ramberghjørnet,0,35010776,"Storgata 91, 3674 Notodden","59.687299158360084, 9.15100492922296",,,,,,,2022-02-24 01:39:34.145351,00.00
423,Ramberghjørnet servicesenter AS,0,32759080,"Storgata 91, 3674 Notodden","59.68728365593858, 9.150989426801452",,,,,,,2022-02-24 01:47:39.523915,00.00
424,DRIV Notodden,0,35011036,"Inger Floods veg 18, 3676 Notodden","49.498513553333325, 6.0374003354383055",,,,,,,2022-02-24 02:30:47.349365,00.00
425,Shell Notodden,0,32759080,"Semsvegen 58, 3676 Notodden","59.68745385314061, 9.151159624003489",,,,,,,2022-02-24 01:39:06.921160,00.00
426,DRIV Hjartdal,0,32759080,"Hjartdalsvegen 506, Bruluten, 3690 Hjartdal","59.6930294, 8.690956031307698",,,,,,,2022-02-24 01:39:34.145351,00.00
427,DRIV Gransherad,0,32759080,"Gransheradvegen 1048, 3691 Gransherad","59.689431, 9.0346003",,,,,,,2022-02-24 01:47:39.523915,00.00
428,DRIV Melum,0,45236595,"Hollavegen 539, 3729 Skien","59.266488597806116, 9.531335745343581",,,,,,,2022-02-24 02:30:47.349365,00.00
429,Shell Pors,0,35522191,"Rabbenkroken 17, 3740 Skien","59.26651959801569, 9.531366745553157",,,,,,,2022-02-24 01:39:06.921160,00.00
430,Bratsberg Autosenter AS,0,35987100,"Håvundvegen 210, 3746 Skien","59.26646091368568, 9.531308061223145",,,,,,,2022-02-24 01:39:34.145351,00.00
431,Best Stabbestad,0,35955115,"Ole Halvorsens vei 921, 3788 Stabbestad","58.79128029107096, 9.37191812942348",,,,,,,2022-02-24 01:47:39.523915,00.00
432,Yx Gvarv,0,91370460,"Gvarvgata 35, 3810 Gvarv","59.38798560316988, 9.174951203169881",,,,,,,2022-02-24 02:30:47.349365,00.00
433,Brenna Drivstoff AS,0,35948383,"Torshølvegen 4, 3810 Gvarv","59.3877705, 9.1747361",,,,,,,2022-02-24 01:39:06.921160,00.00
434,Best Ulefoss,0,45237190,"Fensvegen 179, 3830 Ulefoss","59.2839949, 9.264519",,,,,,,2022-02-24 01:39:34.145351,00.00
435,Shell Sjøormen,0,32759080,"Ingrid Slettens veg 18, 3840 Seljord","57.085058, -134.9802747",,,,,,,2022-02-24 01:47:39.523915,00.00
436,DRIV Brunkeberg,0,35045108,"Ordalsvegen 5, 3850 Kviteseid","59.409653950000006, 8.482792379508197",,,,,,,2022-02-24 02:30:47.349365,00.00
437,Best Treungen,0,35041300,"Treungvegen 251, 3855 Treungen","59.020534, 8.5219703",,,,,,,2022-02-24 01:39:06.921160,00.00
438,Best Fyresdal,0,35077130,"Molandsmoen 2, 3870 Fyresdal","59.144754, 8.037083372807686",,,,,,,2022-02-24 01:39:06.921160,00.00
439,Best Dalen,0,90247002,"Storvegen 242, 3880 Dalen","43.71696191134341, 17.23073401134341",,,,,,,2022-02-24 01:39:34.145351,00.00
440,Yx Dalen,0,35076276,"Storvegen 229, 3880 Dalen","43.71689228624254, 17.230664386242537",,,,,,,2022-02-24 01:47:39.523915,00.00
441,Høydalsmo Servicestasjon AS,0,45227948,"Høydalsmovegen 752, 3891 Høydalsmo","59.4991554, 8.1975294",,,,,,,2022-02-24 02:30:47.349365,00.00
442,Shell Jernbanegata,0,32759080,"Jernbanegata 9, 3916 Porsgrunn","59.14102976196564, 9.656520261965639",,,,,,,2022-02-24 01:39:06.921160,00.00
443,DRIV Bamble,0,51534279,"Europaveien 1387, 3967 Stathelle","59.045325482877786, 9.698061082877784",,,,,,,2022-02-24 01:39:34.145351,00.00
444,Shell Løkkeveien,0,51566986,"Løkkeveien 97, 4008 Stavanger","59.10212750486748, 5.712725962143189",,,,,,,2022-02-24 01:47:39.523915,00.00
445,Shell Randabergveien,0,51541422,"Randabergveien 55 A, 4025 Stavanger","59.10222851401674, 5.712826971292441",,,,,,,2022-02-24 02:30:47.349365,00.00
446,Shell Vardeneset,0,51578128,"Dusavikveien 310, 4029 Stavanger","59.102298575882585, 5.712897033158293",,,,,,,2022-02-24 01:39:06.921160,00.00
447,Shell Forus,0,51556500,"Forusbeen 20, 4031 Stavanger","59.102421249030364, 5.713019706306065",,,,,,,2022-02-24 01:39:34.145351,00.00
448,Shell Madlakrossen,0,51650232,"Madlaveien 263, 4042 Hafrsfjord","58.935425763199, 5.673912163199",,,,,,,2022-02-24 01:47:39.523915,00.00
449,Shell Solakrossen,0,51696055,"Solakrossvegen 6, 4050 Sola","58.882398280899984, 5.356570276288372",,,,,,,2022-02-24 02:30:47.349365,00.00
450,Shell Hagakrossen,0,52797477,"Tananger ring 1, 4056 Tananger","58.9374656, 5.5896347",,,,,,,2022-02-24 01:39:06.921160,00.00
451,Shell Sand,0,52797486,"Gåsavikja 1, 4230 Sand","48.38375993789712, 7.613998337897113",,,,,,,2022-02-24 01:39:34.145351,00.00
452,Best Sand,0,52850034,"Verven 5 A, 4230 Sand","48.3836463, 7.6138847",,,,,,,2022-02-24 01:47:39.523915,00.00
453,Shell Karmøy,0,52850604,"Fotvegen 1 B, Fv47, 4250 Kopervik","22.9330439, 120.2317049",,,,,,,2022-02-24 02:30:47.349365,00.00
454,Shell Kopervik,0,52839565,"Avaldsnesvegen 72, 4250 Kopervik","59.2836139, 5.3067005",,,,,,,2022-02-24 01:39:06.921160,00.00
455,Shell Avaldsnes,0,51664171,"Karmøyvegen 193, 4262 Avaldsnes","59.35635065946759, 5.2789072594675845",,,,,,,2022-02-24 01:39:06.921160,00.00
456,Shell Lura,0,51674657,"Stavangerveien 8, 4313 Sandnes","58.85192522756145, 5.737133427561452",,,,,,,2022-02-24 01:39:34.145351,00.00
457,Shell Jærveien,0,99746109,"Jærveien 140, 4321 Sandnes","58.852096933450134, 5.7373051334501355",,,,,,,2022-02-24 01:47:39.523915,00.00
458,Best Dirdal,0,51482900,"Lindlandveien 1, 4335 Dirdal","58.83404, 6.1811099",,,,,,,2022-02-24 02:30:47.349365,00.00
459,Shell Bryne,0,40104870,"Arne Garborgs veg 2, 4340 Bryne","22.6875902, 120.3073389",,,,,,,2022-02-24 01:39:06.921160,00.00
460,Esso Voll,0,51420213,"Vollvegen 2, 4354 Voll","58.80166029278151, 5.6032623674150255",,,,,,,2022-02-24 01:39:34.145351,00.00
461,Sele servicesenter,0,51791200,"Vollvegen 2, 4354 Voll","59.930775, 10.6185",,,,,,,2022-02-24 01:47:39.523915,00.00
462,Best Vigrestad,0,51494933,"Langgata 50, 4362 Vigrestad","58.5694835, 5.690343",,,,,,,2022-02-24 02:30:47.349365,00.00
463,Shell Eiekrysset,0,51497275,"Eideveien 2, 4373 Egersund","58.4520360510897, 6.000137151089698",,,,,,,2022-02-24 01:39:06.921160,00.00
464,Shell Helleland,0,99159262,"Sørlandsveien 527, 4376 Helleland","58.5340496, 6.1505604",,,,,,,2022-02-24 01:39:34.145351,00.00
465,Høien servicesenter AS,0,38256514,"Lundveien 2542, Haukland, 4460 Moi","44.9009291, 23.2083386",,,,,,,2022-02-24 01:47:39.523915,00.00
466,Yx Vigeland,0,38256708,"Smibakken 10, 4520 Lindesnes","58.084672779593745, 7.3035665269940075",,,,,,,2022-02-24 02:30:47.349365,00.00
467,Best Spangereid,0,38393403,"Lindesnesveien 18, 4521 Lindesnes","58.045450145361734, 7.14041910537986",,,,,,,2022-02-24 01:39:06.921160,00.00
468,Vanse Bilservice AS,0,38022767,"Søndre vei 69, 4560 Vanse","58.0981546, 6.6912726",,,,,,,2022-02-24 01:39:34.145351,00.00
469,Shell Gartnerløkka,0,38118135,"Vestre Strandgate 59, 4612 Kristiansand S","58.1470834705126, 7.986903528150034",,,,,,,2022-02-24 01:47:39.523915,00.00
470,Shell Mosby,0,38046210,"Setesdalsveien 441, 4619 Mosby","39.315559, -94.2938356",,,,,,,2022-02-24 02:30:47.349365,00.00
471,Shell Vige,0,38050933,"Vige Havnevei 1, 4633 Kristiansand S","58.163927221799085, 8.04289812444159",,,,,,,2022-02-24 01:39:06.921160,00.00
472,Søgne Bilservice AS,0,38181308,"Lundeveien 116 B, 4640 Søgne","58.09566337061254, 7.789687970612538",,,,,,,2022-02-24 01:39:06.921160,00.00
473,Shell Nodeland,0,38182445,"Songdalsvegen 101, 4645 Nodeland","58.1551373, 7.8357952",,,,,,,2022-02-24 01:39:34.145351,00.00
474,Rosseland servicesenter AS,0,94013181,"Rosselandsvegen 4, 4647 Brennåsen","59.9039853, 10.9217908",,,,,,,2022-02-24 01:47:39.523915,00.00
475,Shell Bygland,0,92359940,"Sentrum 2, 4745 Bygland","58.87201925, 7.733850127918564",,,,,,,2022-02-24 02:30:47.349365,00.00
476,Esso Valle,0,37936111,"Nordibøvegen 138, 4747 Valle","36.9248213, -3.5856242877423936",,,,,,,2022-02-24 01:39:06.921160,00.00
477,Hylestad Auto AS,0,37276500,"Setesdalsvegen 3267, 4748 Rysstad","59.0894724, 7.5416243",,,,,,,2022-02-24 01:39:34.145351,00.00
478,Best Birkeland,0,45600804,"Birkelandsveien, Nedre Sentrum, 4760 Birkeland","58.330797, 8.2320026",,,,,,,2022-02-24 01:47:39.523915,00.00
479,YX Lillesand Sentrum,22.88,41458266,"Jernbanegata 3, 4790 Lillesand","58.248411068375, 8.375463374750751",,,,,,,None,25.88
480,Yx Lillesand,0,90833439,"Legdene 1, 4790 Lillesand","58.24030292315589, 8.298192240114025",,,,,,,2022-02-24 01:39:06.921160,00.00
481,Yx Eydehavn,0,37010407,"Nesgata 2, 4810 Eydehavn","58.500179266504105, 8.864762266504112",,,,,,,2022-02-24 01:39:34.145351,00.00
482,Hisøy servicesenter AS,0,37022518,"Tangen alle 1, 4817 His","43.0665468, 0.967717",,,,,,,2022-02-24 01:47:39.523915,00.00
